,complete,error,sol,sub_data,u,u_nom
99,False,False,"[[ 0.33229938]
 [-0.07717558]]","{'bfs': Array([0.05979232, 0.08091936, 0.05350453], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.33229938 -0.07717558],[ 1.0372112 -0.5646966]
100,False,False,"[[ 0.33018464]
 [-0.07659362]]","{'bfs': Array([0.06101374, 0.08051272, 0.05323476], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.33018464 -0.07659362],[ 1.0347613  -0.56390774]
101,False,False,"[[ 0.32811263]
 [-0.07602359]]","{'bfs': Array([0.06224666, 0.08010821, 0.05296644], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.32811263 -0.07602359],[ 1.0323246 -0.5631258]
102,False,False,"[[ 0.3260825 ]
 [-0.07546499]]","{'bfs': Array([0.06349101, 0.0797058 , 0.05269948], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3260825  -0.07546499],[ 1.0299008  -0.56235063]
103,False,False,"[[ 0.3240923 ]
 [-0.07491747]]","{'bfs': Array([0.06474681, 0.0793054 , 0.05243393], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3240923  -0.07491747],[ 1.02749   -0.5615819]
104,False,False,"[[ 0.32214084]
 [-0.07438049]]","{'bfs': Array([0.06601398, 0.07890709, 0.05216976], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.32214084 -0.07438049],[ 1.0250918 -0.5608198]
105,False,False,"[[ 0.32022682]
 [-0.07385394]]","{'bfs': Array([0.06729254, 0.07851079, 0.05190693], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.32022682 -0.07385394],[ 1.0227058  -0.56006396]
106,False,False,"[[ 0.3183494 ]
 [-0.07333738]]","{'bfs': Array([0.06858236, 0.07811657, 0.05164549], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3183494  -0.07333738],[ 1.0203321 -0.5593144]
107,False,False,"[[ 0.31650698]
 [-0.07283048]]","{'bfs': Array([0.06988347, 0.07772432, 0.0513854 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.31650698 -0.07283048],[ 1.0179703 -0.5585709]
108,False,False,"[[ 0.31590512]
 [-0.07257298]]","{'bfs': Array([0.07119576, 0.07733409, 0.05112664], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.31590512 -0.07257298],[ 1.0156201 -0.5578334]
109,False,False,"[[ 0.3141086 ]
 [-0.07207946]]","{'bfs': Array([0.07252433, 0.07694447, 0.05086808], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3141086  -0.07207946],[ 1.013272  -0.5570994]
110,False,False,"[[ 0.3123451 ]
 [-0.07159533]]","{'bfs': Array([0.07386407, 0.07655688, 0.05061087], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3123451  -0.07159533],[ 1.0109353 -0.5563712]
111,False,False,"[[ 0.3106145 ]
 [-0.07112001]]","{'bfs': Array([0.07521494, 0.07617125, 0.05035502], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3106145  -0.07112001],[ 1.0086099 -0.5556487]
112,False,False,"[[ 0.3089152 ]
 [-0.07065326]]","{'bfs': Array([0.07657689, 0.07578763, 0.05010046], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3089152  -0.07065326],[ 1.0062953 -0.5549318]
113,False,False,"[[ 0.30724654]
 [-0.07019486]]","{'bfs': Array([0.07794993, 0.07540591, 0.04984724], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.30724654 -0.07019486],[ 1.0039915 -0.5542205]
114,False,False,"[[ 0.3056076 ]
 [-0.06974457]]","{'bfs': Array([0.07933392, 0.07502616, 0.04959531], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3056076  -0.06974457],[ 1.0016985 -0.5535146]
115,False,False,"[[ 0.3039972]
 [-0.0693021]]","{'bfs': Array([0.08072879, 0.07464838, 0.04934467], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3039972 -0.0693021],[ 0.9994158 -0.552814 ]
116,False,False,"[[ 0.30241477]
 [-0.06886738]]","{'bfs': Array([0.0821346 , 0.07427245, 0.04909531], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.30241477 -0.06886738],[ 0.99714315 -0.55211866]
