,complete,error,sol,sub_data,u,u_nom
68,False,False,"[[1.7242564 ]
 [0.36443445]]","{'bfs': Array([0.00124751, 0.24988082, 0.01975338], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.7242564  0.36443445],[ 3.5194185  -0.66617966]
69,False,False,"[[1.4731479 ]
 [0.30160126]]","{'bfs': Array([0.00147991, 0.24854964, 0.01963766], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.4731479  0.30160126],[ 3.5141456  -0.68132174]
70,False,False,"[[1.3113024 ]
 [0.26126346]]","{'bfs': Array([0.00170922, 0.24724859, 0.01952671], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.3113024  0.26126346],[ 3.50937    -0.69384706]
71,False,False,"[[1.1951216 ]
 [0.23238121]]","{'bfs': Array([0.00194022, 0.24596713, 0.01941863], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.1951216  0.23238121],[ 3.504921  -0.7046919]
72,False,False,"[[1.1058644]
 [0.2102444]]","{'bfs': Array([0.00217525, 0.24470054, 0.01931257], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.1058644 0.2102444],[ 3.5007083 -0.7143334]
73,False,False,"[[1.0345981 ]
 [0.19260503]]","{'bfs': Array([0.00241557, 0.24344617, 0.01920821], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.0345981  0.19260503],[ 3.496681  -0.7230524]
74,False,False,"[[0.97601175]
 [0.17815761]]","{'bfs': Array([0.00266206, 0.2422025 , 0.01910523], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.97601175 0.17815761],[ 3.4928036  -0.73103666]
75,False,False,"[[0.9263984 ]
 [0.16593662]]","{'bfs': Array([0.00291534, 0.2409684 , 0.01900346], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.9263984  0.16593662],[ 3.48905   -0.7384187]
76,False,False,"[[0.8844445 ]
 [0.15567523]]","{'bfs': Array([0.00317581, 0.23974316, 0.01890282], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.8844445  0.15567523],[ 3.4854019  -0.74529135]
77,False,False,"[[0.8473518 ]
 [0.14658312]]","{'bfs': Array([0.003444  , 0.2385262 , 0.01880299], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.8473518  0.14658312],[ 3.481848  -0.7517364]
78,False,False,"[[0.8150484 ]
 [0.13871641]]","{'bfs': Array([0.00372003, 0.23731714, 0.01870412], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.8150484  0.13871641],[ 3.4783754 -0.7578025]
79,False,False,"[[0.78608054]
 [0.13166215]]","{'bfs': Array([0.00400426, 0.23611572, 0.01860598], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.78608054 0.13166215],[ 3.4749749  -0.76354074]
80,False,False,"[[0.75979775]
 [0.12525101]]","{'bfs': Array([0.00429683, 0.23492159, 0.01850862], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.75979775 0.12525101],[ 3.4716399 -0.7689849]
81,False,False,"[[0.7367445 ]
 [0.11970936]]","{'bfs': Array([0.00459783, 0.23373467, 0.01841215], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.7367445  0.11970936],[ 3.4683647 -0.7741624]
82,False,False,"[[0.71542805]
 [0.11456725]]","{'bfs': Array([0.0049077 , 0.23255457, 0.01831619], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.71542805 0.11456725],[ 3.4651437  -0.77910864]
83,False,False,"[[0.6955337 ]
 [0.10973985]]","{'bfs': Array([0.00522648, 0.23138128, 0.01822088], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.6955337  0.10973985],[ 3.4619713  -0.78384066]
84,False,False,"[[0.6778839]
 [0.1055367]]","{'bfs': Array([0.00555411, 0.23021461, 0.01812636], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.6778839 0.1055367],[ 3.4588478 -0.7883717]
85,False,False,"[[0.6611588 ]
 [0.10151778]]","{'bfs': Array([0.00589106, 0.22905447, 0.01803233], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.6611588  0.10151778],[ 3.455766   -0.79272735]
86,False,False,"[[0.6457393 ]
 [0.09783253]]","{'bfs': Array([0.00623723, 0.22790086, 0.01793893], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.6457393  0.09783253],[ 3.4527242 -0.7969159]
87,False,False,"[[0.6309337 ]
 [0.09425002]]","{'bfs': Array([0.00659282, 0.22675346, 0.01784612], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.6309337  0.09425002],[ 3.44972    -0.80095077]
88,False,False,"[[0.61768067]
 [0.09111645]]","{'bfs': Array([0.00695764, 0.22561239, 0.01775411], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.61768067 0.09111645],[ 3.4467518  -0.80483663]
89,False,False,"[[0.60534674]
 [0.08822029]]","{'bfs': Array([0.00733218, 0.22447747, 0.01766258], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.60534674 0.08822029],[ 3.4438176  -0.80859184]
90,False,False,"[[0.59328353]
 [0.08533319]]","{'bfs': Array([0.00771659, 0.2233486 , 0.0175715 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.59328353 0.08533319],[ 3.4409132  -0.81222653]
91,False,False,"[[0.58251625]
 [0.08283953]]","{'bfs': Array([0.00811067, 0.22222583, 0.01748106], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.58251625 0.08283953],[ 3.43804   -0.8157408]
92,False,False,"[[0.5718512 ]
 [0.08030716]]","{'bfs': Array([0.00851492, 0.22110896, 0.017391  ], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.5718512  0.08030716],[ 3.4351945  -0.81915164]
93,False,False,"[[0.56180394]
 [0.07793228]]","{'bfs': Array([0.0089291 , 0.21999802, 0.01730153], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.56180394 0.07793228],[ 3.432376   -0.82245696]
94,False,False,"[[0.55231655]
 [0.07570064]]","{'bfs': Array([0.00935332, 0.21889298, 0.01721263], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.55231655 0.07570064],[ 3.4295838 -0.8256632]
95,False,False,"[[0.54333866]
 [0.07359822]]","{'bfs': Array([0.0097877 , 0.21779369, 0.01712427], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.54333866 0.07359822],[ 3.4268167  -0.82877684]
96,False,False,"[[0.5348275 ]
 [0.07161448]]","{'bfs': Array([0.01023237, 0.21670027, 0.01703644], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.5348275  0.07161448],[ 3.4240723  -0.83180285]
97,False,False,"[[0.5267447 ]
 [0.06973998]]","{'bfs': Array([0.01068743, 0.21561256, 0.01694909], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.5267447  0.06973998],[ 3.4213512 -0.8347465]
98,False,False,"[[0.51906097]
 [0.06796721]]","{'bfs': Array([0.011153  , 0.21453042, 0.01686222], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.51906097 0.06796721],[ 3.4186525  -0.83761215]
99,False,False,"[[0.51174796]
 [0.06628983]]","{'bfs': Array([0.01162918, 0.21345389, 0.01677578], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.51174796 0.06628983],[ 3.4159741  -0.84040403]
100,False,False,"[[0.5042246 ]
 [0.06448286]]","{'bfs': Array([0.01211612, 0.212383  , 0.01668978], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.5042246  0.06448286],[ 3.4133153  -0.84312594]
101,False,False,"[[0.49755916]
 [0.06296761]]","{'bfs': Array([0.01261335, 0.2113177 , 0.0166045 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.49755916 0.06296761],[ 3.4106767 -0.845773 ]
102,False,False,"[[0.49119565]
 [0.06153134]]","{'bfs': Array([0.01312151, 0.21025787, 0.01651961], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.49119565 0.06153134],[ 3.4080567  -0.84835696]
